title,url
Harvard Website,https://www.harvard.edu/
Harvard College,https://college.harvard.edu/
Athletics,https://recreation.gocrimson.com/
Dining,https://dining.harvard.edu/
Alumni,https://alumni.harvard.edu/
CS50,https://cs50.harvard.edu/college/2021/fall/
HOLLIS,https://hollis.harvard.edu/
The Crimson,https://www.thecrimson.com/
Canvas,http://www.canvas.harvard.edu/
Color,https://www.color.com/
Hillel,https://hillel.harvard.edu/
SEAS,https://www.seas.harvard.edu/
Harvard Box Office,https://www.boxoffice.harvard.edu/Online/default.asp
Q Guide,https://sites.fas.harvard.edu/~evals/qguide.htm
ARC,https://academicresourcecenter.harvard.edu/
Writing Center,https://writingcenter.fas.harvard.edu/
